month,branch_id,net_interest_income_gbp,fee_and_commission_income_gbp,total_income_gbp
2024-01-01,BR01,1585500,661000,2246500
2024-02-01,BR01,1406700,570600,1977300
2024-03-01,BR01,1491300,573000,2064300
2024-04-01,BR01,1430400,588300,2018700
2024-05-01,BR01,1519100,588700,2107800
2024-06-01,BR01,1363100,594500,1957600
2024-07-01,BR01,1441000,581000,2022000
2024-08-01,BR01,1672500,518200,2190700
2024-09-01,BR01,1539000,568100,2107100
2024-10-01,BR01,1557100,528300,2085400
2024-11-01,BR01,1544600,595000,2139600
2024-12-01,BR01,1590200,546900,2137100
2025-01-01,BR01,1482300,586100,2068400
2025-02-01,BR01,1586800,621700,2208500
2025-03-01,BR01,1628300,643100,2271400
2025-04-01,BR01,1559300,577200,2136500
2025-05-01,BR01,1573200,553600,2126800
2025-06-01,BR01,1658700,620500,2279200
2025-07-01,BR01,1587400,630100,2217500
2025-08-01,BR01,1570200,561200,2131400
2025-09-01,BR01,1703300,610300,2313600
2025-10-01,BR01,1680400,598300,2278700
2025-11-01,BR01,1626900,623400,2250300
2025-12-01,BR01,1598000,606800,2204800
2024-01-01,BR02,1399700,498800,1898500
2024-02-01,BR02,1217800,481700,1699500
2024-03-01,BR02,1289200,483700,1772900
2024-04-01,BR02,1293500,505800,1799300
2024-05-01,BR02,1266700,489000,1755700
2024-06-01,BR02,1328200,567600,1895800
2024-07-01,BR02,1336500,460300,1796800
2024-08-01,BR02,1259800,519000,1778800
2024-09-01,BR02,1421900,452400,1874300
2024-10-01,BR02,1367000,464300,1831300
2024-11-01,BR02,1334200,535000,1869200
2024-12-01,BR02,1335000,482500,1817500
2025-01-01,BR02,1500500,556500,2057000
2025-02-01,BR02,1349400,504700,1854100
2025-03-01,BR02,1332800,514600,1847400
2025-04-01,BR02,1283000,526000,1809000
2025-05-01,BR02,1240400,530600,1771000
2025-06-01,BR02,1383200,465300,1848500
2025-07-01,BR02,1439200,487500,1926700
2025-08-01,BR02,1437400,445200,1882600
2025-09-01,BR02,1309100,478200,1787300
2025-10-01,BR02,1377300,514800,1892100
2025-11-01,BR02,1399800,461400,1861200
2025-12-01,BR02,1336600,487600,1824200
2024-01-01,BR03,806800,319300,1126100
2024-02-01,BR03,824900,314700,1139600
2024-03-01,BR03,867800,330300,1198100
2024-04-01,BR03,861900,323400,1185300
2024-05-01,BR03,875900,331300,1207200
2024-06-01,BR03,757400,314800,1072200
2024-07-01,BR03,905600,292400,1198000
2024-08-01,BR03,923500,331200,1254700
2024-09-01,BR03,895800,341300,1237100
2024-10-01,BR03,905500,348800,1254300
2024-11-01,BR03,916400,316700,1233100
2024-12-01,BR03,874300,357100,1231400
2025-01-01,BR03,925300,353600,1278900
2025-02-01,BR03,878000,317500,1195500
2025-03-01,BR03,917200,338600,1255800
2025-04-01,BR03,936800,348800,1285600
2025-05-01,BR03,900000,376300,1276300
2025-06-01,BR03,922300,342400,1264700
2025-07-01,BR03,820800,328800,1149600
