alert_id,customer_id,alert_date,scenario,transaction_amount_gbp,counterparty_country,priority,analyst_id,status,closed_date,days_to_close,outcome,analyst_hours,sar_filed
ALT03156,C00724,2024-01-12,Rapid Movement of Funds,20328.93,India,Medium,AN037,Closed,2024-01-28,16,Closed - False Positive,1.0,N
ALT00879,C01394,2024-01-19,Dormant Account Reactivation,121333.79,United Kingdom,High,AN034,Closed,2024-01-22,3,Closed - False Positive,0.9,N
ALT00365,C02893,2024-01-25,Dormant Account Reactivation,13820.86,United Kingdom,Medium,AN040,Closed,2024-01-26,1,Closed - False Positive,1.2,N
ALT03189,C01581,2024-01-28,Dormant Account Reactivation,16515.03,United Kingdom,High,AN034,Closed,2024-02-29,32,SAR Filed,12.4,Y
ALT02476,C00498,2024-02-03,Structuring,9786.67,United Kingdom,Low,AN034,Closed,2024-02-16,13,Closed - False Positive,0.5,N
ALT02622,C02420,2024-02-09,Round-Amount Transfers,8942.99,United Kingdom,Medium,AN039,Closed,2024-02-18,9,Closed - False Positive,1.2,N
ALT02671,C02496,2024-02-13,Large Cash Deposit,20177.72,United Kingdom,High,AN033,Closed,2024-02-16,3,Closed - False Positive,0.6,N
ALT06111,C01229,2024-02-13,Dormant Account Reactivation,41968.48,United Kingdom,Medium,AN037,Closed,2024-02-18,5,Closed - False Positive,1.2,N
ALT04809,C00266,2024-02-17,Dormant Account Reactivation,19398.5,United Kingdom,Low,AN035,Closed,2024-02-21,4,Closed - False Positive,1.2,N
ALT03496,C02496,2024-02-17,Structuring,8708.06,United Kingdom,High,AN033,Closed,2024-03-25,37,Escalated to Investigation,5.3,N
ALT04048,C00824,2024-02-19,Rapid Movement of Funds,69580.01,United Kingdom,High,AN034,Closed,2024-02-21,2,Closed - False Positive,1.2,N
ALT03720,C00713,2024-02-24,High-Risk Jurisdiction Transfer,9934.47,UAE,Low,AN035,Closed,2024-02-27,3,Closed - False Positive,1.2,N
ALT05960,C02155,2024-02-24,Structuring,8950.78,United Kingdom,High,AN033,Closed,2024-02-27,3,Closed - False Positive,1.1,N
ALT05651,C02626,2024-02-27,Rapid Movement of Funds,44597.98,India,Medium,AN037,Closed,2024-03-03,5,Closed - False Positive,0.4,N
ALT05774,C01005,2024-02-29,High-Risk Jurisdiction Transfer,6127.9,Panama,Low,AN039,Closed,2024-03-04,4,Closed - False Positive,0.7,N
ALT04525,C02620,2024-03-01,Large Cash Deposit,29865.08,United Kingdom,Medium,AN037,Closed,2024-03-16,15,Closed - False Positive,0.7,N
ALT05519,C02683,2024-03-02,Unusual Activity vs Profile,2521.85,United Kingdom,Medium,AN034,Closed,2024-03-05,3,Closed - False Positive,0.5,N
ALT05443,C00119,2024-03-05,Large Cash Deposit,34784.68,Germany,High,AN038,Closed,2024-03-12,7,Closed - False Positive,1.0,N
ALT06470,C01022,2024-03-06,Rapid Movement of Funds,16802.77,Ireland,Low,AN039,Closed,2024-03-14,8,Closed - False Positive,0.9,N
ALT01647,C01148,2024-03-06,Large Cash Deposit,54730.26,United Kingdom,High,AN038,Closed,2024-03-16,10,Closed - False Positive,0.3,N
ALT00576,C01240,2024-03-07,Unusual Activity vs Profile,19911.8,United Kingdom,Low,AN037,Closed,2024-03-14,7,Closed - False Positive,0.5,N
ALT06399,C00265,2024-03-08,Rapid Movement of Funds,26529.66,United Kingdom,High,AN036,Closed,2024-03-13,5,Closed - False Positive,0.6,N
ALT04584,C02876,2024-03-08,Rapid Movement of Funds,1570.02,Cyprus,Medium,AN035,Closed,2024-03-14,6,Closed - False Positive,1.0,N
ALT04386,C01340,2024-03-08,Large Cash Deposit,53842.11,United Kingdom,High,AN038,Closed,2024-03-19,11,Closed - False Positive,1.2,N
ALT01083,C01340,2024-03-10,Large Cash Deposit,56761.08,United Kingdom,High,AN040,Closed,2024-03-17,7,Closed - False Positive,1.0,N
ALT01198,C02130,2024-03-11,Structuring,7917.24,Nigeria,Low,AN035,Closed,2024-03-14,3,Closed - False Positive,0.9,N
ALT04860,C01578,2024-03-11,Rapid Movement of Funds,13420.22,United Kingdom,Medium,AN040,Closed,2024-03-22,11,Closed - False Positive,1.1,N
ALT05803,C01056,2024-03-12,Rapid Movement of Funds,8613.42,India,Low,AN037,Closed,2024-03-19,7,Closed - False Positive,0.7,N
ALT00309,C02488,2024-03-12,High-Risk Jurisdiction Transfer,1617.9,UAE,Low,AN034,Closed,2024-03-22,10,Closed - False Positive,0.7,N
ALT04316,C02572,2024-03-12,Dormant Account Reactivation,48913.2,United Kingdom,Medium,AN039,Closed,2024-03-21,9,Closed - False Positive,1.2,N
ALT05702,C02155,2024-03-13,Round-Amount Transfers,29120.83,Nigeria,High,AN035,Closed,2024-04-06,24,SAR Filed,4.3,Y
ALT04034,C00549,2024-03-13,Large Cash Deposit,36256.66,UAE,Medium,AN036,Closed,2024-03-21,8,Closed - False Positive,0.7,N
ALT01894,C01394,2024-03-16,High-Risk Jurisdiction Transfer,13853.38,United Kingdom,Low,AN034,Closed,2024-03-18,2,Closed - False Positive,0.6,N
ALT02442,C00819,2024-03-17,Structuring,7043.38,Pakistan,Medium,AN038,Closed,2024-03-19,2,Closed - False Positive,1.2,N
ALT03401,C02603,2024-03-18,High-Risk Jurisdiction Transfer,7651.15,United Kingdom,Low,AN038,Closed,2024-03-21,3,Closed - False Positive,0.4,N
ALT04872,C00801,2024-03-20,Structuring,8708.11,Russia,Low,AN037,Closed,2024-03-23,3,Closed - False Positive,1.0,N
ALT03267,C02937,2024-03-21,Rapid Movement of Funds,28087.52,United States,Medium,AN033,Closed,2024-03-30,9,Closed - False Positive,0.9,N
ALT02789,C01022,2024-03-21,Unusual Activity vs Profile,24817.43,United Kingdom,Medium,AN037,Closed,2024-03-27,6,Closed - False Positive,0.4,N
ALT06435,C01022,2024-03-23,Rapid Movement of Funds,2683.41,United Kingdom,Medium,AN038,Closed,2024-03-30,7,Closed - False Positive,1.0,N
ALT02208,C01417,2024-03-25,High-Risk Jurisdiction Transfer,6757.42,United Kingdom,High,AN034,Closed,2024-03-30,5,Closed - False Positive,0.7,N
ALT02411,C01922,2024-03-25,Rapid Movement of Funds,25349.74,United Kingdom,Medium,AN035,Closed,2024-04-03,9,Closed - False Positive,0.6,N
ALT03791,C00006,2024-03-26,Structuring,9582.37,United Kingdom,High,AN034,Closed,2024-04-01,6,Closed - False Positive,1.0,N
ALT03366,C01188,2024-03-26,Round-Amount Transfers,43288.71,United Kingdom,Medium,AN038,Closed,2024-03-28,2,Closed - False Positive,1.1,N
ALT03811,C01369,2024-03-26,Structuring,8713.52,United Kingdom,Low,AN039,Closed,2024-03-30,4,Closed - False Positive,0.8,N
ALT00816,C00087,2024-03-27,Rapid Movement of Funds,6595.55,Nigeria,Low,AN035,Closed,2024-04-18,22,Escalated to Investigation,6.7,N
ALT01003,C01167,2024-03-28,Unusual Activity vs Profile,7992.04,India,Medium,AN040,Closed,2024-03-31,3,Closed - False Positive,1.0,N
ALT01592,C00684,2024-03-28,Unusual Activity vs Profile,22170.1,India,Low,AN040,Closed,2024-04-12,15,Closed - False Positive,0.4,N
ALT00848,C00142,2024-03-28,Dormant Account Reactivation,12224.63,United Kingdom,Low,AN034,Closed,2024-04-01,4,Closed - False Positive,0.7,N
ALT01533,C00305,2024-03-28,High-Risk Jurisdiction Transfer,60089.07,United Kingdom,High,AN033,Closed,2024-04-03,6,Closed - False Positive,1.2,N
ALT01779,C01172,2024-03-31,Large Cash Deposit,47372.07,United Kingdom,Medium,AN039,Closed,2024-04-04,4,Closed - False Positive,1.0,N
ALT05616,C01360,2024-04-02,Large Cash Deposit,45402.3,United Kingdom,Medium,AN039,Closed,2024-04-23,21,Closed - False Positive,0.9,N
ALT02147,C01830,2024-04-02,Unusual Activity vs Profile,45595.19,United Kingdom,Medium,AN037,Closed,2024-04-12,10,Closed - False Positive,0.4,N
ALT05479,C01916,2024-04-04,Large Cash Deposit,26374.88,United Kingdom,Low,AN036,Closed,2024-04-12,8,Closed - False Positive,1.2,N
ALT00571,C00893,2024-04-04,Unusual Activity vs Profile,18760.98,UAE,Medium,AN037,Closed,2024-04-07,3,Closed - False Positive,0.6,N
ALT03134,C01272,2024-04-04,Round-Amount Transfers,12298.69,Nigeria,High,AN035,Closed,2024-04-12,8,Closed - False Positive,1.0,N
ALT02277,C02317,2024-04-06,Rapid Movement of Funds,11297.4,United Kingdom,Medium,AN037,Closed,2024-04-14,8,Closed - False Positive,0.8,N
ALT04901,C02868,2024-04-08,Round-Amount Transfers,7318.53,Pakistan,Low,AN035,Closed,2024-04-13,5,Closed - False Positive,0.4,N
ALT01417,C00097,2024-04-09,Unusual Activity vs Profile,35895.0,United Kingdom,Low,AN039,Closed,2024-05-30,51,Escalated to Investigation,12.1,N
ALT04173,C01369,2024-04-09,Unusual Activity vs Profile,14317.38,United Kingdom,Medium,AN033,Closed,2024-04-11,2,Closed - False Positive,0.9,N
ALT04385,C01272,2024-04-10,Large Cash Deposit,12281.24,United Kingdom,High,AN034,Closed,2024-04-15,5,Closed - False Positive,0.6,N
ALT05970,C00682,2024-04-10,Unusual Activity vs Profile,5747.95,United Kingdom,Low,AN040,Closed,2024-04-16,6,Closed - False Positive,0.8,N
ALT06144,C01492,2024-04-11,Rapid Movement of Funds,2922.84,Ireland,High,AN035,Closed,2024-04-14,3,Closed - False Positive,1.1,N
ALT00752,C01784,2024-04-11,Structuring,8516.61,United Kingdom,Medium,AN034,Closed,2024-04-13,2,Closed - False Positive,0.5,N
ALT05758,C01340,2024-04-12,Unusual Activity vs Profile,259069.14,United Kingdom,High,AN036,Closed,2024-04-16,4,Closed - False Positive,0.6,N
ALT03506,C01995,2024-04-12,Unusual Activity vs Profile,28313.01,United Kingdom,High,AN034,Closed,2024-04-23,11,Closed - False Positive,1.1,N
ALT03510,C00243,2024-04-13,Structuring,9583.82,United States,Low,AN036,Closed,2024-04-26,13,Closed - False Positive,0.9,N
ALT01390,C01340,2024-04-15,Large Cash Deposit,52130.66,United Kingdom,High,AN038,Closed,2024-04-18,3,Closed - False Positive,1.0,N
ALT04097,C01402,2024-04-17,Rapid Movement of Funds,7957.81,United Kingdom,High,AN039,Closed,2024-04-26,9,Closed - False Positive,1.1,N
ALT01692,C01801,2024-04-17,Round-Amount Transfers,15175.83,France,Medium,AN033,Closed,2024-05-05,18,Closed - False Positive,0.4,N
ALT01014,C01561,2024-04-18,Large Cash Deposit,40659.73,United Kingdom,Medium,AN036,Closed,2024-04-21,3,Closed - False Positive,0.4,N
ALT02535,C02663,2024-04-18,Dormant Account Reactivation,4873.44,United Kingdom,Low,AN035,Closed,2024-04-26,8,Closed - False Positive,1.2,N
ALT04949,C00689,2024-04-19,Rapid Movement of Funds,1245.45,India,Medium,AN037,Closed,2024-04-29,10,Closed - False Positive,0.8,N
ALT03281,C02676,2024-04-21,Dormant Account Reactivation,8522.04,United Kingdom,Low,AN038,Closed,2024-04-26,5,Closed - False Positive,0.8,N
ALT05950,C00849,2024-04-23,Rapid Movement of Funds,2340.14,United Kingdom,High,AN036,Closed,2024-05-03,10,SAR Filed,12.9,Y
ALT05887,C02285,2024-04-23,Rapid Movement of Funds,3749.27,United Kingdom,Low,AN033,Closed,2024-04-26,3,Closed - False Positive,0.5,N
ALT01369,C01402,2024-04-24,Unusual Activity vs Profile,14545.51,United Kingdom,High,AN033,Closed,2024-05-04,10,Closed - False Positive,0.6,N
ALT05398,C00115,2024-04-25,Rapid Movement of Funds,7842.87,Cyprus,High,AN033,Closed,2024-05-04,9,Closed - False Positive,0.8,N
ALT02173,C01314,2024-04-25,Dormant Account Reactivation,161478.58,United Kingdom,High,AN035,Closed,2024-04-30,5,Closed - False Positive,0.4,N
ALT00740,C02403,2024-04-28,Rapid Movement of Funds,14734.93,India,Low,AN033,Closed,2024-05-06,8,Closed - False Positive,0.4,N
ALT05053,C02309,2024-04-28,Structuring,7127.81,United Kingdom,Medium,AN039,Closed,2024-05-03,5,Closed - False Positive,0.8,N
ALT05497,C02616,2024-04-30,Structuring,8764.7,United States,Medium,AN033,Closed,2024-05-03,3,Closed - False Positive,0.9,N
ALT03748,C00460,2024-05-01,High-Risk Jurisdiction Transfer,61252.66,United States,High,AN035,Closed,2024-05-03,2,Closed - False Positive,1.0,N
ALT01444,C01578,2024-05-01,High-Risk Jurisdiction Transfer,16114.13,Cyprus,Medium,AN039,Closed,2024-05-09,8,Closed - False Positive,1.2,N
ALT00864,C01208,2024-05-01,High-Risk Jurisdiction Transfer,39509.96,United Kingdom,Low,AN037,Closed,2024-05-05,4,Closed - False Positive,0.9,N
ALT03566,C01005,2024-05-01,High-Risk Jurisdiction Transfer,14960.91,United Kingdom,Low,AN033,Closed,2024-05-11,10,Closed - False Positive,1.1,N
