bdd_id,customer_id,company_reg_number,incorporation_country,legal_structure,industry,sector_risk,cash_intensive,years_trading,ownership_layers,ubo_count,ubo_identified,ubo_verified,complex_structure_flag,companies_house_check,directors_screened,financial_statements_reviewed,expected_monthly_turnover_gbp,website_and_trading_address_verified,shell_company_indicators,bdd_outcome
BDD0001,C00001,11687827,United Kingdom,Private Limited,Retail,Standard,Y,25,1,1,Y,Y,N,Match,Y,Y,86000,Y,N,Satisfactory
BDD0002,C00004,10563512,Pakistan,Partnership,Real Estate,High,N,0,1,3,Y,Y,N,N/A (non-UK),Y,Y,195300,N,N,Satisfactory
BDD0003,C00005,14838823,United Kingdom,Private Limited,Precious Metals,High,Y,18,1,1,Y,Y,N,Match,Y,Y,24100,Y,N,Satisfactory
BDD0004,C00006,11210491,United Kingdom,Private Limited,Precious Metals,High,Y,12,3,2,N,N,Y,Match,Y,Y,46200,Y,N,Referred to EDD
BDD0005,C00010,11621261,United Kingdom,PLC,Money Services,High,Y,30,1,1,Y,Y,N,Match,Y,Y,36100,Y,N,Satisfactory
BDD0006,C00016,14088368,France,Private Limited,Retail,Standard,Y,16,2,4,Y,Y,N,N/A (non-UK),Y,Y,115200,Y,N,Satisfactory
BDD0007,C00017,14833145,United Kingdom,Private Limited,Money Services,High,Y,10,1,2,Y,Y,N,Match,Y,Y,100200,N,N,Satisfactory
BDD0008,C00018,14138124,Ireland,Private Limited,Hospitality,Standard,Y,23,1,4,Y,Y,N,N/A (non-UK),Y,Y,92000,Y,N,Satisfactory
BDD0009,C00032,10855702,United Kingdom,Private Limited,Construction,Standard,N,8,1,2,Y,Y,N,Match,Y,N,181000,N,N,Satisfactory
BDD0010,C00037,11261371,France,Private Limited,Retail,Standard,Y,20,1,2,Y,Y,N,N/A (non-UK),Y,Y,262500,Y,N,Satisfactory
BDD0011,C00039,13143013,Nigeria,Foundation,Money Services,High,Y,19,1,2,Y,Y,N,N/A (non-UK),Y,Y,21200,Y,N,Satisfactory
BDD0012,C00043,15738310,United Kingdom,LLP,Construction,Standard,N,39,1,3,Y,N,N,Match,Y,Y,62200,Y,N,Satisfactory
BDD0013,C00051,11007521,United Kingdom,Private Limited,Crypto Assets,High,N,24,4,4,Y,Y,Y,Match,Y,Y,381200,Y,N,Satisfactory
BDD0014,C00052,13521729,Pakistan,Foundation,Real Estate,High,N,36,2,4,Y,Y,N,N/A (non-UK),Y,Y,40700,Y,N,Satisfactory
BDD0015,C00059,15993164,United Kingdom,Foundation,Professional Services,Standard,N,10,3,1,N,N,Y,Match,Y,N,21500,Y,N,Referred to EDD
BDD0016,C00060,13173523,Panama,Private Limited,Retail,Standard,Y,1,1,3,Y,Y,Y,N/A (non-UK),Y,Y,31700,Y,N,Satisfactory
BDD0017,C00062,11597167,United Kingdom,Private Limited,Retail,Standard,Y,13,4,1,N,N,Y,Match,Y,Y,6900,Y,Y,Rejected
BDD0018,C00067,14936955,United Kingdom,Private Limited,Import/Export,High,N,18,4,4,Y,Y,Y,Match,Y,Y,185700,N,Y,Rejected
BDD0019,C00068,11034897,United Kingdom,Private Limited,Crypto Assets,High,N,16,2,2,Y,Y,N,Discrepancy,Y,Y,183800,Y,N,Remediation Required
BDD0020,C00070,12251587,United Kingdom,Private Limited,Import/Export,High,N,0,3,1,N,N,Y,Match,Y,Y,125500,Y,N,Referred to EDD
BDD0021,C00074,11111187,United Kingdom,Partnership,Crypto Assets,High,N,0,1,2,Y,Y,N,Match,Y,Y,71400,N,N,Satisfactory
BDD0022,C00078,14286901,Pakistan,Private Limited,Professional Services,Standard,N,22,1,4,Y,Y,N,N/A (non-UK),Y,Y,68200,Y,N,Satisfactory
BDD0023,C00079,15881892,United Kingdom,LLP,Construction,Standard,N,9,4,3,Y,Y,Y,Match,Y,Y,152300,Y,N,Satisfactory
BDD0024,C00080,15510048,Nigeria,Private Limited,Money Services,High,Y,14,1,3,Y,Y,N,N/A (non-UK),Y,Y,80200,Y,N,Satisfactory
BDD0025,C00081,10470132,United Kingdom,Private Limited,Retail,Standard,Y,30,1,3,Y,N,N,Match,Y,Y,41700,Y,N,Satisfactory
BDD0026,C00082,15695338,United Kingdom,LLP,Real Estate,High,N,15,1,1,Y,Y,N,Match,Y,Y,21500,Y,N,Satisfactory
BDD0027,C00085,13578409,United Kingdom,Foundation,Construction,Standard,N,32,1,4,Y,Y,N,Match,Y,Y,24600,Y,N,Satisfactory
BDD0028,C00089,10238682,United Kingdom,Private Limited,Retail,Standard,Y,19,3,1,N,N,Y,Match,Y,Y,26200,Y,Y,Rejected
BDD0029,C00091,10770222,United Kingdom,PLC,Hospitality,Standard,Y,29,3,2,Y,Y,Y,Discrepancy,Y,Y,155000,Y,N,Remediation Required
BDD0030,C00094,10436921,United States,LLP,Professional Services,Standard,N,11,4,3,Y,Y,Y,N/A (non-UK),Y,Y,100100,Y,Y,Rejected
BDD0031,C00098,12771308,Germany,PLC,Professional Services,Standard,N,5,3,4,Y,Y,Y,N/A (non-UK),Y,Y,33000,Y,Y,Rejected
BDD0032,C00101,14249786,United Kingdom,LLP,Technology,Standard,N,10,2,1,Y,Y,N,Match,Y,Y,68300,Y,N,Satisfactory
BDD0033,C00102,12734302,United Kingdom,Private Limited,Hospitality,Standard,Y,5,4,4,Y,Y,Y,Match,Y,Y,41300,Y,N,Satisfactory
BDD0034,C00114,10026661,United Kingdom,Private Limited,Crypto Assets,High,N,19,2,1,Y,Y,N,Match,Y,Y,15500,Y,N,Satisfactory
BDD0035,C00115,11807037,UAE,LLP,Technology,Standard,N,12,2,3,Y,Y,Y,N/A (non-UK),Y,Y,31400,N,N,Satisfactory
BDD0036,C00116,13979449,United Kingdom,PLC,Professional Services,Standard,N,10,1,1,Y,Y,N,Discrepancy,Y,Y,118300,Y,N,Remediation Required
BDD0037,C00119,12911215,United Kingdom,LLP,Real Estate,High,N,8,1,4,Y,Y,N,Match,Y,Y,40100,Y,N,Satisfactory
BDD0038,C00124,14933569,United Kingdom,Private Limited,Hospitality,Standard,Y,16,3,1,N,N,Y,Match,Y,Y,47700,Y,N,Referred to EDD
BDD0039,C00126,14550597,Germany,Private Limited,Real Estate,High,N,0,4,3,N,N,Y,N/A (non-UK),Y,Y,18600,N,N,Rejected
BDD0040,C00133,10539519,Pakistan,PLC,Technology,Standard,N,15,4,1,Y,Y,Y,N/A (non-UK),Y,Y,208000,Y,N,Satisfactory
BDD0041,C00135,14255211,United Kingdom,LLP,Professional Services,Standard,N,8,3,1,Y,N,Y,Match,Y,Y,34800,Y,N,Satisfactory
BDD0042,C00136,10140696,United Kingdom,Private Limited,Hospitality,Standard,Y,21,1,3,Y,Y,N,Match,Y,Y,38000,Y,N,Satisfactory
BDD0043,C00138,10246577,United States,Private Limited,Import/Export,High,N,19,3,2,N,N,Y,N/A (non-UK),Y,Y,25500,Y,N,Referred to EDD
BDD0044,C00141,13051096,United Kingdom,LLP,Construction,Standard,N,18,4,3,Y,Y,Y,Match,Y,Y,101400,Y,Y,Rejected
BDD0045,C00142,15891334,United Kingdom,Partnership,Hospitality,Standard,Y,24,2,2,Y,Y,N,Match,Y,Y,35200,Y,N,Satisfactory
BDD0046,C00146,15923922,United Kingdom,Private Limited,Retail,Standard,Y,2,1,2,Y,Y,N,Match,Y,Y,181800,Y,N,Satisfactory
BDD0047,C00152,14598642,United Kingdom,Private Limited,Import/Export,High,N,3,2,1,Y,Y,N,Match,Y,N,33500,Y,N,Satisfactory
BDD0048,C00156,13209853,United Kingdom,Private Limited,Technology,Standard,N,19,1,3,Y,Y,N,Match,Y,Y,19000,Y,N,Satisfactory
BDD0049,C00157,14457359,UAE,Private Limited,Hospitality,Standard,Y,15,4,4,Y,Y,Y,N/A (non-UK),Y,Y,63100,Y,N,Satisfactory
BDD0050,C00162,15851173,India,LLP,Professional Services,Standard,N,11,3,1,Y,N,Y,N/A (non-UK),Y,Y,165300,Y,Y,Rejected
BDD0051,C00165,15941571,United Kingdom,Private Limited,Retail,Standard,Y,15,2,2,Y,Y,N,Match,Y,Y,282300,Y,N,Satisfactory
BDD0052,C00179,14210058,Nigeria,Private Limited,Professional Services,Standard,N,9,2,4,Y,Y,N,N/A (non-UK),Y,Y,162000,Y,N,Satisfactory
BDD0053,C00180,11180268,United Kingdom,Partnership,Retail,Standard,Y,5,1,4,Y,Y,N,Match,Y,Y,49500,Y,N,Satisfactory
BDD0054,C00191,11814663,United Kingdom,Trust,Import/Export,High,N,9,1,4,Y,Y,N,Match,Y,N,30800,Y,N,Satisfactory
BDD0055,C00193,12044827,United Kingdom,Partnership,Technology,Standard,N,37,1,1,Y,N,N,Match,Y,Y,89500,N,N,Satisfactory
BDD0056,C00195,11449743,France,Private Limited,Retail,Standard,Y,4,1,4,Y,Y,N,N/A (non-UK),Y,Y,164300,Y,N,Satisfactory
BDD0057,C00196,15748867,United Kingdom,Private Limited,Crypto Assets,High,N,39,1,1,Y,Y,N,Match,Y,N,328300,Y,N,Satisfactory
BDD0058,C00197,13634986,United Kingdom,Private Limited,Technology,Standard,N,27,1,2,Y,Y,N,Match,Y,Y,98000,Y,N,Satisfactory
BDD0059,C00198,12441057,India,Private Limited,Construction,Standard,N,4,1,2,Y,Y,N,N/A (non-UK),Y,Y,78000,Y,N,Satisfactory
BDD0060,C00199,11995275,United States,Private Limited,Retail,Standard,Y,31,1,4,Y,Y,N,N/A (non-UK),Y,Y,104300,Y,N,Satisfactory
BDD0061,C00201,14911173,United Kingdom,Partnership,Hospitality,Standard,Y,10,3,2,Y,Y,Y,Discrepancy,Y,Y,52300,Y,N,Remediation Required
BDD0062,C00205,11432261,United Kingdom,Partnership,Professional Services,Standard,N,19,4,3,Y,Y,Y,Match,Y,N,48200,Y,N,Satisfactory
BDD0063,C00220,14353361,United Kingdom,Private Limited,Import/Export,High,N,0,1,3,Y,N,N,Match,Y,Y,6400,Y,N,Satisfactory
BDD0064,C00221,12366769,United Kingdom,Private Limited,Retail,Standard,Y,0,3,2,Y,Y,Y,Match,Y,Y,52100,Y,N,Satisfactory
BDD0065,C00225,10305975,India,LLP,Technology,Standard,N,31,4,1,Y,Y,Y,N/A (non-UK),Y,N,353700,Y,N,Satisfactory
