case_id,customer_id,case_type,due_diligence_level,assigned_team,analyst_id,start_date,completion_date,sla_days,days_taken,sla_breached,id_verified,address_verified,source_of_funds_verified,source_of_wealth_verified,senior_mgmt_approval,status,rejection_reason,qa_check_passed,case_handling_hours
KYC00001,C00001,Onboarding,Standard,Business Due Diligence,AN025,2025-02-20,2025-03-15,10,23.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,19.9
KYC00002,C00002,Onboarding,Standard,KYC Onboarding,AN005,2025-07-20,2025-08-05,10,16.0,Y,Y,Y,N,N/A,N/A,Approved,,Y,12.5
KYC00004,C00003,Onboarding,Simplified,KYC Onboarding,AN001,2024-08-05,2024-08-06,5,1.0,N,Y,Y,N,N/A,N/A,Approved,,Y,0.9
KYC00005,C00004,Onboarding,Enhanced,Enhanced Due Diligence,AN021,2025-09-19,2025-10-12,30,23.0,N,N,Y,Y,Y,Y,Approved,,Y,15.3
KYC00006,C00005,Onboarding,Standard,Business Due Diligence,AN022,2025-09-03,2025-09-28,10,25.0,Y,Y,Y,N,N/A,N/A,Approved,,Y,11.1
KYC00007,C00006,Onboarding,Enhanced,Enhanced Due Diligence,AN020,2024-01-12,2024-01-13,30,1.0,N,Y,Y,Y,Y,Y,Approved,,Y,0.6
KYC00008,C00006,Periodic Review,Enhanced,Enhanced Due Diligence,AN020,2025-02-10,2025-03-12,30,30.0,N,Y,Y,Y,Y,Y,Approved,,Y,13.5
KYC00009,C00007,Onboarding,Standard,KYC Onboarding,AN002,2025-02-14,2025-02-23,10,9.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.2
KYC00010,C00008,Onboarding,Simplified,KYC Onboarding,AN004,2024-12-10,2024-12-13,5,3.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.2
KYC00011,C00009,Onboarding,Standard,KYC Onboarding,AN002,2025-04-25,2025-05-06,10,11.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,8.0
KYC00012,C00010,Onboarding,Standard,Business Due Diligence,AN026,2024-07-06,2024-07-10,10,4.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.2
KYC00013,C00011,Onboarding,Standard,KYC Onboarding,AN002,2024-03-08,2024-03-11,10,3.0,N,Y,Y,N,N/A,N/A,Approved,,Y,2.6
KYC00014,C00012,Onboarding,Standard,KYC Onboarding,AN009,2024-07-17,2024-07-23,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,5.0
KYC00015,C00013,Onboarding,Standard,KYC Onboarding,AN006,2025-01-15,2025-01-26,10,11.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,8.9
KYC00016,C00014,Onboarding,Standard,KYC Onboarding,AN006,2024-07-16,2024-07-19,10,3.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.9
KYC00017,C00015,Onboarding,Standard,KYC Onboarding,AN010,2024-12-01,2024-12-18,10,17.0,Y,Y,Y,N,N/A,N/A,Approved,,Y,14.7
KYC00018,C00016,Onboarding,Standard,Business Due Diligence,AN022,2024-10-08,2024-10-21,10,13.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,11.6
KYC00019,C00017,Onboarding,Enhanced,Enhanced Due Diligence,AN017,2025-05-21,2025-06-12,30,22.0,N,Y,Y,Y,Y,Y,Approved,,Y,16.8
KYC00020,C00018,Onboarding,Standard,Business Due Diligence,AN026,2024-10-27,2024-10-31,10,4.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.7
KYC00021,C00019,Onboarding,Standard,KYC Onboarding,AN005,2024-04-14,2024-04-19,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.1
KYC00022,C00020,Onboarding,Standard,KYC Onboarding,AN004,2025-04-06,2025-04-10,10,4.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.8
KYC00023,C00021,Onboarding,Standard,KYC Onboarding,AN007,2024-05-31,2024-06-07,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.9
KYC00024,C00022,Onboarding,Simplified,KYC Onboarding,AN002,2024-08-04,2024-08-05,5,1.0,N,Y,Y,N,N/A,N/A,Approved,,Y,0.7
KYC00025,C00022,Trigger Event Review,Simplified,KYC Periodic Review,AN011,2024-11-07,2024-11-08,5,1.0,N,Y,Y,Y,N/A,N/A,Approved,,N,0.8
KYC00026,C00023,Onboarding,Standard,KYC Onboarding,AN004,2025-05-31,2025-06-06,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.1
KYC00027,C00024,Onboarding,Standard,KYC Onboarding,AN008,2024-07-14,2024-07-23,10,9.0,N,N,Y,Y,N/A,N/A,Approved,,Y,6.0
KYC00028,C00025,Onboarding,Standard,KYC Onboarding,AN006,2024-02-12,2024-02-25,10,13.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,8.6
KYC00029,C00026,Onboarding,Standard,KYC Onboarding,AN009,2024-09-19,2024-09-25,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.4
KYC00030,C00027,Onboarding,Standard,KYC Onboarding,AN002,2024-10-09,2024-10-14,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.9
KYC00031,C00028,Onboarding,Standard,KYC Onboarding,AN009,2025-05-16,2025-05-21,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.8
