month,branch_id,department,cost_category,budget_gbp,actual_gbp,variance_gbp
2024-01-01,BR01,Retail Banking Ops,Staff,207900,201870,-6030
2024-01-01,BR01,Retail Banking Ops,Technology & Systems,56700,59790,3090
2024-01-01,BR01,Retail Banking Ops,Screening & Data Vendors,22680,21080,-1600
2024-01-01,BR01,Retail Banking Ops,Premises,45360,43850,-1510
2024-01-01,BR01,Retail Banking Ops,Outsourcing,26460,28300,1840
2024-01-01,BR01,Retail Banking Ops,Training,7560,7520,-40
2024-01-01,BR01,Retail Banking Ops,Other,11340,11420,80
2024-01-01,BR01,KYC & Onboarding,Staff,93560,88300,-5260
2024-01-01,BR01,KYC & Onboarding,Technology & Systems,25520,24080,-1440
2024-01-01,BR01,KYC & Onboarding,Screening & Data Vendors,10210,10400,190
2024-01-01,BR01,KYC & Onboarding,Premises,20410,21860,1450
2024-01-01,BR01,KYC & Onboarding,Outsourcing,11910,11340,-570
2024-01-01,BR01,KYC & Onboarding,Training,3400,3510,110
2024-01-01,BR01,KYC & Onboarding,Other,5100,5370,270
2024-01-01,BR01,AML & Financial Crime,Staff,103950,100470,-3480
2024-01-01,BR01,AML & Financial Crime,Technology & Systems,28350,29540,1190
2024-01-01,BR01,AML & Financial Crime,Screening & Data Vendors,11340,12290,950
2024-01-01,BR01,AML & Financial Crime,Premises,22680,23890,1210
2024-01-01,BR01,AML & Financial Crime,Outsourcing,13230,12940,-290
2024-01-01,BR01,AML & Financial Crime,Training,3780,3730,-50
2024-01-01,BR01,AML & Financial Crime,Other,5670,5980,310
2024-01-01,BR01,Payments Ops,Staff,72760,77250,4490
2024-01-01,BR01,Payments Ops,Technology & Systems,19840,18640,-1200
2024-01-01,BR01,Payments Ops,Screening & Data Vendors,7940,8240,300
2024-01-01,BR01,Payments Ops,Premises,15880,15270,-610
2024-01-01,BR01,Payments Ops,Outsourcing,9260,8500,-760
2024-01-01,BR01,Payments Ops,Training,2650,2510,-140
2024-01-01,BR01,Payments Ops,Other,3970,4100,130
2024-01-01,BR01,IT & Technology,Staff,124740,117340,-7400
2024-01-01,BR01,IT & Technology,Technology & Systems,34020,34480,460
2024-01-01,BR01,IT & Technology,Screening & Data Vendors,13610,13300,-310
2024-01-01,BR01,IT & Technology,Premises,27220,25790,-1430
2024-01-01,BR01,IT & Technology,Outsourcing,15880,16360,480
2024-01-01,BR01,IT & Technology,Training,4540,4290,-250
2024-01-01,BR01,IT & Technology,Other,6800,7060,260
2024-01-01,BR01,Compliance,Staff,62370,63670,1300
2024-01-01,BR01,Compliance,Technology & Systems,17010,16010,-1000
2024-01-01,BR01,Compliance,Screening & Data Vendors,6800,7130,330
2024-01-01,BR01,Compliance,Premises,13610,13070,-540
2024-01-01,BR01,Compliance,Outsourcing,7940,8500,560
2024-01-01,BR01,Compliance,Training,2270,2400,130
2024-01-01,BR01,Compliance,Other,3400,3220,-180
2024-02-01,BR01,Retail Banking Ops,Staff,207900,209070,1170
2024-02-01,BR01,Retail Banking Ops,Technology & Systems,56700,55240,-1460
2024-02-01,BR01,Retail Banking Ops,Screening & Data Vendors,22680,23770,1090
2024-02-01,BR01,Retail Banking Ops,Premises,45360,43340,-2020
2024-02-01,BR01,Retail Banking Ops,Outsourcing,26460,27740,1280
2024-02-01,BR01,Retail Banking Ops,Training,7560,7930,370
2024-02-01,BR01,Retail Banking Ops,Other,11340,12370,1030
2024-02-01,BR01,KYC & Onboarding,Staff,93560,99420,5860
2024-02-01,BR01,KYC & Onboarding,Technology & Systems,25520,25100,-420
2024-02-01,BR01,KYC & Onboarding,Screening & Data Vendors,10210,11280,1070
