screening_id,customer_id,screening_date,screening_type,screening_vendor,sanctions_hit,sanctions_list,sanctions_true_match,pep_hit,pep_category,adverse_media_hit,adverse_media_category,media_source_type,adverse_media_relevant,open_source_checks_done,resolution_days,disposition
SCR000001,C00001,2025-02-24,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000002,C00001,2025-08-23,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000003,C00002,2025-07-22,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000004,C00003,2024-08-08,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000005,C00003,2025-02-04,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000006,C00003,2025-08-03,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000007,C00004,2025-09-21,Initial,Dow Jones Risk,N,,,N,,N,,,,Y,0,No Hit
SCR000008,C00005,2025-09-04,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000009,C00006,2024-01-13,Initial,World-Check,N,,,N,,N,,,,Y,0,No Hit
SCR000010,C00006,2024-07-11,Ongoing Rescreen,World-Check,N,,,N,,N,,,,Y,0,No Hit
SCR000011,C00006,2025-01-07,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,Y,0,No Hit
SCR000012,C00006,2025-07-06,Ongoing Rescreen,World-Check,N,,,N,,N,,,,Y,0,No Hit
SCR000013,C00007,2025-02-16,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000014,C00007,2025-08-15,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000015,C00008,2024-12-14,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000016,C00008,2025-06-12,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000017,C00008,2025-12-09,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000018,C00009,2025-04-25,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000019,C00009,2025-10-22,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000020,C00010,2024-07-08,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000021,C00010,2025-01-04,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000022,C00010,2025-07-03,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000023,C00010,2025-12-30,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000024,C00011,2024-03-12,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000025,C00011,2024-09-08,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000026,C00011,2025-03-07,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000027,C00011,2025-09-03,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000028,C00012,2024-07-19,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000029,C00012,2025-01-15,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000030,C00012,2025-07-14,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000031,C00013,2025-01-19,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000032,C00013,2025-07-18,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000033,C00014,2024-07-16,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000034,C00014,2025-01-12,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000035,C00014,2025-07-11,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000036,C00015,2024-12-05,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000037,C00015,2025-06-03,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000038,C00015,2025-11-30,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000039,C00016,2024-10-11,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000040,C00016,2025-04-09,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000041,C00016,2025-10-06,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000042,C00017,2025-05-22,Initial,Dow Jones Risk,N,,,N,,N,,,,Y,0,No Hit
SCR000043,C00017,2025-11-18,Ongoing Rescreen,World-Check,N,,,N,,N,,,,Y,0,No Hit
SCR000044,C00018,2024-10-27,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000045,C00018,2025-04-25,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000046,C00018,2025-10-22,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000047,C00019,2024-04-15,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000048,C00019,2024-10-12,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000049,C00019,2025-04-10,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000050,C00019,2025-10-07,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000051,C00020,2025-04-08,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000052,C00020,2025-10-05,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000053,C00021,2024-06-04,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000054,C00021,2024-12-01,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000055,C00021,2025-05-30,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000056,C00021,2025-11-26,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000057,C00022,2024-08-07,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000058,C00022,2025-02-03,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000059,C00022,2025-08-02,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000060,C00023,2025-05-31,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000061,C00023,2025-11-27,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000062,C00024,2024-07-18,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000063,C00024,2025-01-14,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000064,C00024,2025-07-13,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000065,C00025,2024-02-15,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000066,C00025,2024-08-13,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000067,C00025,2025-02-09,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000068,C00025,2025-08-08,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000069,C00026,2024-09-20,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000070,C00026,2025-03-19,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000071,C00026,2025-09-15,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000072,C00027,2024-10-10,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000073,C00027,2025-04-08,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,Y,Fraud,Regional News,N,Y,3,Cleared - False Positive
SCR000074,C00027,2025-10-05,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000075,C00028,2025-05-16,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000076,C00028,2025-11-12,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000077,C00029,2025-06-02,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000078,C00029,2025-11-29,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000079,C00030,2024-01-01,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000080,C00030,2024-06-29,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000081,C00030,2024-12-26,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000082,C00030,2025-06-24,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000083,C00030,2025-12-21,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000084,C00031,2025-07-07,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000085,C00032,2025-06-30,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000086,C00032,2025-12-27,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000087,C00033,2024-05-06,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000088,C00033,2024-11-02,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000089,C00033,2025-05-01,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000090,C00033,2025-10-28,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000091,C00034,2024-09-04,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000092,C00034,2025-03-03,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000093,C00034,2025-08-30,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000094,C00035,2025-07-14,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000095,C00036,2025-02-25,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000096,C00036,2025-08-24,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000097,C00037,2024-09-05,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000098,C00037,2025-03-04,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000099,C00037,2025-08-31,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000100,C00038,2025-07-10,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000101,C00039,2025-04-06,Initial,LexisNexis Bridger,N,,,N,,N,,,,Y,0,No Hit
SCR000102,C00039,2025-10-03,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,Y,0,No Hit
SCR000103,C00040,2025-01-08,Initial,LexisNexis Bridger,N,,,N,,Y,Organised Crime,Court Records,N,Y,8,Cleared - False Positive
SCR000104,C00040,2025-07-07,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000105,C00041,2024-01-05,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000106,C00041,2024-07-03,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000107,C00041,2024-12-30,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000108,C00041,2025-06-28,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000109,C00041,2025-12-25,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000110,C00042,2025-04-18,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000111,C00042,2025-10-15,Ongoing Rescreen,Dow Jones Risk,N,,,N,,Y,Fraud,Court Records,N,Y,2,Cleared - False Positive
SCR000112,C00043,2024-05-11,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000113,C00043,2024-11-07,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000114,C00043,2025-05-06,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000115,C00043,2025-11-02,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000116,C00044,2025-11-03,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000117,C00045,2024-05-18,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000118,C00045,2024-11-14,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000119,C00045,2025-05-13,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000120,C00045,2025-11-09,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000121,C00046,2024-01-22,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000122,C00046,2024-07-20,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000123,C00046,2025-01-16,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000124,C00046,2025-07-15,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000125,C00047,2024-10-02,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000126,C00047,2025-03-31,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000127,C00047,2025-09-27,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000128,C00048,2024-09-12,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000129,C00048,2025-03-11,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000130,C00048,2025-09-07,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000131,C00049,2024-09-14,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000132,C00049,2025-03-13,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000133,C00049,2025-09-09,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000134,C00050,2025-11-08,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000135,C00051,2024-07-19,Initial,World-Check,N,,,N,,Y,Bribery & Corruption,Court Records,N,Y,16,Cleared - False Positive
SCR000136,C00051,2025-01-15,Ongoing Rescreen,World-Check,Y,UN Consolidated,N,N,,N,,,,Y,9,Cleared - False Positive
SCR000137,C00051,2025-07-14,Ongoing Rescreen,Dow Jones Risk,N,,,N,,Y,Money Laundering,National News,N,Y,4,Cleared - False Positive
SCR000138,C00052,2025-09-04,Initial,LexisNexis Bridger,N,,,N,,N,,,,Y,0,No Hit
SCR000139,C00053,2024-04-28,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000140,C00053,2024-10-25,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000141,C00053,2025-04-23,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000142,C00053,2025-10-20,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000143,C00054,2025-03-26,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000144,C00054,2025-09-22,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000145,C00055,2024-04-05,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000146,C00055,2024-10-02,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000147,C00055,2025-03-31,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000148,C00055,2025-09-27,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000149,C00056,2024-06-16,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000150,C00056,2024-12-13,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000151,C00056,2025-06-11,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000152,C00056,2025-12-08,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000153,C00057,2024-04-18,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000154,C00057,2024-10-15,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000155,C00057,2025-04-13,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000156,C00057,2025-10-10,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000157,C00058,2024-08-29,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000158,C00058,2025-02-25,Ongoing Rescreen,Dow Jones Risk,N,,,Y,Domestic PEP,N,,,,Y,3,Cleared - False Positive
SCR000159,C00058,2025-08-24,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000160,C00059,2024-12-02,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000161,C00059,2025-05-31,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000162,C00059,2025-11-27,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000163,C00060,2025-09-19,Initial,LexisNexis Bridger,N,,,N,,Y,Organised Crime,Regulator Notice,Y,Y,4,Escalate to EDD
SCR000164,C00061,2025-07-06,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000165,C00062,2025-05-25,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000166,C00062,2025-11-21,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000167,C00063,2024-12-23,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000168,C00063,2025-06-21,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000169,C00063,2025-12-18,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000170,C00064,2024-07-27,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000171,C00064,2025-01-23,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000172,C00064,2025-07-22,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000173,C00065,2024-08-04,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000174,C00065,2025-01-31,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000175,C00065,2025-07-30,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000176,C00066,2024-04-06,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000177,C00066,2024-10-03,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000178,C00066,2025-04-01,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000179,C00066,2025-09-28,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000180,C00067,2025-04-30,Initial,World-Check,N,,,N,,N,,,,Y,0,No Hit
SCR000181,C00067,2025-10-27,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,Y,0,No Hit
SCR000182,C00068,2025-07-24,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000183,C00069,2025-02-04,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
