loan_id,customer_id,branch_id,product,origination_date,term_months,exposure_gbp,interest_rate_pct,credit_score,credit_score_band,debt_to_income_ratio,loan_to_value_pct,sector,region,days_past_due,ifrs9_stage,default_flag,probability_of_default,loss_given_default,expected_credit_loss_gbp,collateral_type
L00001,C01284,BR06,SME Term Loan,2025-07-26,60,125700,8.75,717,Good (670-739),0.25,,Retail,Scotland,0,Stage 1 (Performing),N,0.0032,0.45,181,Unsecured
L00002,C00251,BR01,Personal Loan,2024-01-31,24,17200,8.04,794,Excellent (740+),0.17,,Retired,London,0,Stage 1 (Performing),N,0.0012,0.45,9,Unsecured
L00003,C02154,BR03,Personal Loan,2024-01-24,36,34500,7.42,843,Excellent (740+),1.38,,Employee,North West,0,Stage 1 (Performing),N,0.0008,0.45,12,Unsecured
L00004,C02787,BR05,Mortgage,2025-02-04,300,304300,4.94,721,Good (670-739),9.0,77.8,Director,North East,0,Stage 1 (Performing),N,0.0222,0.18,1216,Property
L00005,C00633,BR06,Mortgage,2024-07-21,300,457000,5.43,674,Good (670-739),9.0,40.9,Employee,Scotland,0,Stage 1 (Performing),N,0.0474,0.18,3899,Property
L00006,C00071,BR03,Overdraft,2025-07-10,12,3300,8.8,704,Good (670-739),0.05,,Student,North West,0,Stage 1 (Performing),N,0.0037,0.78,10,Unsecured
L00007,C00022,BR01,Mortgage,2025-03-31,300,185600,3.86,872,Excellent (740+),7.64,49.3,Employee,London,0,Stage 1 (Performing),N,0.0018,0.18,60,Property
L00008,C00415,BR10,Mortgage,2026-05-24,300,274200,4.49,771,Excellent (740+),1.84,71.8,Employee,Northern Ireland,0,Stage 1 (Performing),N,0.0023,0.18,114,Property
L00009,C00587,BR08,Overdraft,2026-07-26,36,1500,8.27,762,Excellent (740+),0.05,,Retired,South West,0,Stage 1 (Performing),N,0.0014,0.78,2,Unsecured
L00010,C00604,BR01,SME Term Loan,2025-04-29,36,105800,8.42,748,Excellent (740+),0.08,,Construction,London,150,Stage 3 (Credit-impaired),Y,0.0018,0.45,771,Unsecured
L00011,C02172,BR02,Mortgage,2024-09-22,300,209400,4.79,741,Excellent (740+),2.08,70.6,Employee,London,0,Stage 1 (Performing),N,0.0041,0.18,155,Property
L00012,C02800,BR01,Personal Loan,2024-11-17,24,7500,7.01,883,Excellent (740+),0.08,,Employee,London,0,Stage 1 (Performing),N,0.0003,0.45,1,Unsecured
L00013,C02664,BR09,Personal Loan,2025-01-08,60,20700,9.48,593,Fair (580-669),0.75,,Property Investor,Wales,0,Stage 1 (Performing),N,0.0396,0.45,369,Unsecured
L00014,C01733,BR07,Mortgage,2025-12-09,300,361900,4.89,726,Good (670-739),9.0,70.7,Director,Scotland,0,Stage 1 (Performing),N,0.0205,0.18,1335,Property
L00015,C02050,BR03,Mortgage,2026-02-07,300,270200,4.61,766,Excellent (740+),7.52,53.9,Employee,North West,0,Stage 1 (Performing),N,0.0106,0.18,516,Property
L00016,C01728,BR02,Credit Card,2025-02-26,12,5800,18.68,771,Excellent (740+),0.11,,Employee,London,0,Stage 1 (Performing),N,0.0017,0.78,8,Unsecured
L00017,C01637,BR03,Commercial Mortgage,2025-09-07,300,874800,5.88,623,Fair (580-669),2.0,42.3,Retail,North West,0,Stage 1 (Performing),N,0.0279,0.18,4393,Property
L00018,C02287,BR01,Invoice Finance,2025-05-28,36,56600,10.12,533,Poor (300-579),0.12,,Technology,London,0,Stage 1 (Performing),N,0.0625,0.45,1592,Receivables
L00019,C01493,BR01,SME Term Loan,2025-08-25,12,52000,9.6,631,Fair (580-669),0.1,,Hospitality,London,0,Stage 1 (Performing),N,0.0128,0.45,300,Unsecured
L00020,C02617,BR03,Personal Loan,2024-09-10,24,7900,9.15,660,Fair (580-669),0.28,,Retired,North West,0,Stage 1 (Performing),N,0.0113,0.45,40,Unsecured
L00021,C02702,BR04,Overdraft,2025-01-16,24,3400,8.8,703,Good (670-739),0.08,,Student,Midlands,0,Stage 1 (Performing),N,0.0039,0.78,10,Unsecured
L00022,C02406,BR06,Mortgage,2025-12-24,300,243900,4.27,790,Excellent (740+),2.78,62.1,Employee,Scotland,0,Stage 1 (Performing),N,0.0023,0.18,101,Property
L00023,C01229,BR01,Personal Loan,2024-11-13,36,6200,8.25,761,Excellent (740+),0.05,,Employee,London,0,Stage 1 (Performing),N,0.002,0.45,6,Unsecured
L00024,C01008,BR07,Personal Loan,2025-03-18,24,21600,9.85,627,Fair (580-669),0.76,,Retired,Scotland,0,Stage 1 (Performing),N,0.023,0.45,224,Unsecured
L00025,C00165,BR03,SME Term Loan,2024-12-01,24,104700,9.61,595,Fair (580-669),0.05,,Retail,North West,0,Stage 1 (Performing),N,0.0226,0.45,1065,Unsecured
L00026,C02088,BR08,Personal Loan,2026-01-13,60,24700,8.65,724,Good (670-739),0.93,,Employee,South West,0,Stage 1 (Performing),N,0.0049,0.45,54,Unsecured
L00027,C02930,BR01,Mortgage,2024-11-06,300,364700,4.42,792,Excellent (740+),9.0,51.5,Self-employed,London,0,Stage 1 (Performing),N,0.0069,0.18,453,Property
L00028,C00904,BR06,Credit Card,2024-07-12,24,3300,19.25,705,Good (670-739),0.05,,Employee,Scotland,0,Stage 1 (Performing),N,0.005,0.78,13,Unsecured
L00029,C00655,BR07,Credit Card,2024-08-21,12,4200,19.11,725,Good (670-739),0.06,,Employee,Scotland,0,Stage 1 (Performing),N,0.0036,0.78,12,Unsecured
L00030,C02361,BR07,Invoice Finance,2025-09-18,60,43400,10.59,539,Poor (300-579),0.26,,Technology,Scotland,0,Stage 1 (Performing),N,0.0596,0.45,1164,Receivables
L00031,C00203,BR07,Personal Loan,2026-04-01,36,8300,9.84,613,Fair (580-669),0.3,,Employee,Scotland,0,Stage 1 (Performing),N,0.0246,0.45,92,Unsecured
L00032,C02160,BR01,Mortgage,2026-01-11,300,193300,5.58,650,Fair (580-669),7.47,42.1,Retired,London,0,Stage 1 (Performing),N,0.0691,0.18,2404,Property
L00033,C02398,BR07,Mortgage,2025-04-17,300,276000,4.94,722,Good (670-739),9.0,60.3,Employee,Scotland,0,Stage 1 (Performing),N,0.0219,0.18,1088,Property
L00034,C02925,BR05,Credit Card,2025-05-21,36,7400,19.41,688,Good (670-739),0.1,,Employee,North East,0,Stage 1 (Performing),N,0.0067,0.78,39,Unsecured
L00035,C01918,BR01,Personal Loan,2026-04-12,36,8100,9.28,643,Fair (580-669),0.05,,Employee,London,0,Stage 1 (Performing),N,0.0138,0.45,50,Unsecured
